prioridade,prefixo,setor
2,862,Atendimento móvel de saúde
2,863,Consultórios e clínicas
2,864,Diagnóstico e terapias
2,865,Profissionais de saúde
2,866,Gestão de saúde
2,869,Outros serviços de saúde
3,01,Agropecuária
3,02,Silvicultura
3,03,Pesca e aquicultura
3,05,Carvão mineral
3,06,Petróleo e gás
3,07,Mineração de metais
3,08,Mineração não metálica
3,09,Serviços de extração mineral
3,10,Alimentos
3,11,Bebidas
3,12,Tabaco
3,13,Têxtil
3,14,Vestuário
3,15,Calçados e artigos de couro
3,16,Madeira
3,17,Papel e celulose
3,18,Impressão e reprodução
3,19,Refino e derivados de petróleo
3,20,Químico
3,21,Farmacêutico
3,22,Borracha e plástico
3,23,Minerais não metálicos
3,24,Metalurgia
3,25,Produtos de metal
3,26,Eletrônicos e informática
3,27,Equipamentos elétricos
3,28,Máquinas e equipamentos
3,29,Automotivo
3,30,Outros equipamentos de transporte
3,31,Móveis
3,32,Outras indústrias
3,33,Manutenção e instalação industrial
3,35,Energia elétrica e gás
3,36,Abastecimento de água
3,37,Esgoto
3,38,Resíduos e reciclagem
3,39,Descontaminação ambiental
3,41,Construção Civil
3,42,Construção Civil
3,43,Construção Civil
3,45,Comércio e reparação de veículos
3,46,Comércio atacadista — diversos
3,47,Comércio varejista — diversos
3,49,Transporte terrestre
3,50,Transporte aquaviário
3,51,Aérea
3,52,Armazenagem e serviços de transporte
3,53,Correios e entregas
3,55,Hospedagem
3,56,Alimentação
3,58,Edição de livros e periódicos
3,59,Audiovisual e música
3,60,Rádio e televisão
3,61,Telecomunicações
3,62,Tecnologia da informação
3,63,Serviços de informação
3,64,Serviços financeiros
3,65,Seguros e previdência
3,66,Serviços auxiliares financeiros
3,68,Imobiliário
3,69,Serviços jurídicos e contábeis
3,70,Consultoria e sedes de empresas
3,71,Engenharia e serviços técnicos
3,72,Pesquisa e desenvolvimento
3,73,Publicidade e pesquisa de mercado
3,74,Outros serviços profissionais
3,75,Veterinária
3,77,Locação de bens
3,78,Seleção e locação de mão de obra
3,79,Turismo e agências de viagens
3,80,Segurança e vigilância
3,81,Limpeza e serviços prediais
3,82,Serviços administrativos
3,84,Administração pública
3,85,Educação
3,86,Saúde
3,87,Cuidados e assistência com alojamento
3,88,Assistência social
3,90,Artes e espetáculos
3,91,Cultura e patrimônio
3,92,Jogos e apostas
3,93,Esporte e recreação
3,94,Associações e organizações
3,95,Reparação de bens pessoais e informática
3,96,Serviços pessoais
3,97,Serviços domésticos
3,99,Organismos internacionais
